Date,Open,High,Low,Close,Volume,Change
2018-03-13,27196,28299,27095,28200,1320091,0.04074402125775012
2018-03-14,28000,28100,27297,27498,703764,-0.02489361702127657
2018-03-15,27598,28401,27498,28401,950867,0.03283875190922969
2018-03-16,28401,28702,27899,28301,1024727,-0.003521002781592175
2018-03-19,28098,28198,27296,27598,610095,-0.024840111656831865
2018-03-20,27196,28098,27095,27899,556447,0.010906587433872073
2018-03-21,27897,28098,27597,27698,416757,-0.007204559303200853
2018-03-22,27497,27897,27196,27698,567619,0.0
2018-03-23,27094,27295,25991,26193,1233587,-0.05433605314463141
2018-03-26,25991,26592,25389,26293,962796,0.0038178139197495575
2018-03-27,26996,26996,26293,26394,451505,0.0038413265888259662
2018-03-28,25892,26193,25691,25892,462777,-0.01901947412290672
2018-03-29,25991,26291,25389,25992,437532,0.0038621968175498456
2018-03-30,26393,26793,26092,26494,447866,0.019313634964604587
2018-04-02,26594,26795,25792,25892,454496,-0.022722125764323975
2018-04-03,25491,26193,25390,25792,483608,-0.0038621968175498456
2018-04-04,25890,25890,24787,24788,730140,-0.038926799007444224
2018-04-05,25088,25290,24888,24989,299168,0.008108762304340766
2018-04-06,25087,25187,24486,24587,376868,-0.016087078314458325
2018-04-09,24387,24587,24086,24387,547412,-0.008134379956887816
2018-04-10,24386,24786,24386,24587,322551,0.00820109074506914
2018-04-11,24888,25089,24285,24387,379388,-0.008134379956887816
2018-04-12,24486,24587,24086,24086,367434,-0.012342641571329027
2018-04-13,24186,24487,23984,24186,368169,0.004151789421240615
2018-04-16,24184,24184,23382,23483,815062,-0.029066402050773155
2018-04-17,23583,24084,23583,23684,399502,0.008559383383724306
2018-04-18,24084,24385,23783,23985,495833,0.012709001857794222
2018-04-19,23883,23883,23282,23383,648909,-0.025099020220971435
2018-04-20,23383,23584,22781,23082,650463,-0.012872599751956537
2018-04-23,22980,22980,22278,22279,669590,-0.034789013083788234
2018-04-24,22480,23182,22279,23082,473979,0.03604291036401985
2018-04-25,23181,23883,22780,23182,607008,0.004332380209687292
2018-04-26,23381,23582,22780,22881,366727,-0.012984211888534158
2018-04-27,23082,23182,22480,22781,402728,-0.004370438354966977
2018-04-30,22779,22879,22077,22279,618640,-0.02203590711557879
2018-05-02,22179,22982,21978,22982,526839,0.0315543785627721
2018-05-03,22982,23383,22681,22781,350536,-0.008745975110956428
2018-05-04,22681,22781,22379,22480,251346,-0.013212765023484452
2018-05-08,22480,22681,22078,22480,331690,0.0
2018-05-09,22279,22681,22179,22681,332320,0.008941281138790114
2018-05-10,22680,23682,22278,23483,840339,0.03535999294563741
2018-05-11,23582,23682,23282,23483,367532,0.0
2018-05-14,22982,23283,22279,22681,657566,-0.03415236554102963
2018-05-15,22480,23082,22480,22982,320939,0.013271019796305294
2018-05-16,22981,23481,22780,23483,466027,0.02179966930641375
2018-05-17,23582,23782,23282,23383,338096,-0.004258399693395254
2018-05-18,23784,23884,22580,22781,819348,-0.025745199503913074
2018-05-21,22781,22982,22580,22781,176761,0.0
2018-05-23,22679,22980,22579,22580,285620,-0.008823142092094338
2018-05-24,22480,22881,22480,22681,208135,0.004472984942426983
2018-05-25,22480,22881,22379,22480,257170,-0.008862043119791885
2018-05-28,22279,22379,21677,21677,679442,-0.03572064056939506
2018-05-29,21677,22078,21577,21677,318837,0.0
2018-05-30,21474,21575,20773,20874,600575,-0.03704387138441667
2018-05-31,20974,21275,20673,20774,470392,-0.004790648653827723
2018-06-01,20773,21474,20773,20974,452021,0.009627418888995765
2018-06-04,20874,21777,20874,21677,432581,0.03351768856679693
2018-06-05,21676,22478,21475,22379,477854,0.0323845550583568
2018-06-07,22478,22779,21877,22379,355080,0.0
2018-06-08,22480,22781,22179,22681,393243,0.0134947942267305
2018-06-11,22680,22980,22479,22881,251178,0.00881795335302682
2018-06-12,22880,22980,22680,22881,180468,0.0
2018-06-14,22881,22881,22480,22480,250011,-0.017525457803417632
2018-06-15,22480,22480,21878,21978,336430,-0.022330960854092474
2018-06-18,21878,22078,21275,21577,405910,-0.018245518245518233
2018-06-19,21476,22179,21175,21376,250870,-0.009315474811141478
2018-06-20,21275,21878,21275,21677,290289,0.014081212574850399
2018-06-21,21575,21876,21274,21476,172840,-0.009272500807307238
2018-06-22,21375,22980,21375,22881,651617,0.065421866269324
2018-06-25,22880,22980,22479,22881,345973,0.0
2018-06-26,22580,22681,22279,22480,250298,-0.017525457803417632
2018-06-27,22578,22779,22077,22279,311174,-0.008941281138790003
2018-06-28,22077,22578,21877,22379,221308,0.004488531801247753
2018-06-29,22681,23182,22480,22982,579530,0.02694490370436564
2018-07-02,23180,23381,22378,22379,415693,-0.026237925332869172
2018-07-03,22780,23080,22579,22881,314988,0.022431744045757096
2018-07-04,22981,23682,22880,23483,846154,0.02631003889690131
2018-07-05,23481,23782,23181,23383,348243,-0.004258399693395254
2018-07-06,23383,23483,22681,22982,383082,-0.017149210965231143
2018-07-09,22982,23584,22982,23584,394098,0.026194413018884255
2018-07-10,23582,23682,23282,23483,222321,-0.004282564450474924
2018-07-11,23282,23481,23081,23383,250313,-0.004258399693395254
2018-07-12,23483,23684,23182,23584,444272,0.008595988538681931
2018-07-13,23683,23883,23382,23684,302155,0.004240162822252369
2018-07-16,23682,23782,23181,23383,236711,-0.012709001857794333
2018-07-17,23281,23381,22780,22881,372754,-0.02146858829063847
2018-07-18,23082,23383,22480,22681,351263,-0.008740876709933953
2018-07-19,22680,23180,22579,22881,267375,0.00881795335302682
2018-07-20,22881,23182,22681,23082,184967,0.008784581093483679
2018-07-23,23081,23481,22780,23182,346894,0.004332380209687292
2018-07-24,23181,23682,23081,23483,502533,0.012984211888534158
2018-07-25,23583,23683,23282,23684,310394,0.008559383383724306
2018-07-26,23684,23784,23283,23584,262125,-0.0042222597534200546
2018-07-27,23583,24084,23382,23985,568921,0.01700305291723203
2018-07-30,23782,23883,23282,23383,308410,-0.025099020220971435
2018-07-31,23080,23281,22378,22580,654749,-0.034341188042595006
2018-08-01,22579,22779,22378,22580,276459,0.0
2018-08-02,22578,23080,22278,22279,311779,-0.01333038086802485
2018-08-03,22379,22681,22379,22681,169521,0.018043897841016232
2018-08-06,22781,22982,22580,22781,189971,0.00440897667651341
2018-08-07,22881,24086,22681,24086,742353,0.05728457925464192
2018-08-08,24487,24989,23684,23885,1216684,-0.00834509673669348
2018-08-09,24285,25288,23984,25189,1622449,0.05459493405903282
2018-08-10,25188,25990,24887,25691,1269641,0.019929334233196982
2018-08-13,25388,25589,24586,24888,636617,-0.03125608189638396
2018-08-14,25089,25792,24688,25591,518080,0.02824654451944708
2018-08-16,24989,25691,24888,25591,478674,0.0
2018-08-17,25792,25892,25390,25491,327327,-0.0039076237739830155
2018-08-20,25491,25691,24888,24989,328660,-0.01969322505982507
2018-08-21,25087,25388,24887,24888,353528,-0.004041778382488315
2018-08-22,25189,25189,24587,24989,333939,0.004058180649308962
2018-08-23,25088,25288,24787,25189,292057,0.008003521549481807
2018-08-24,25087,25087,24687,24888,283256,-0.011949660566120124
2018-08-27,24887,25690,24887,25691,588666,0.03226454516232713
2018-08-28,25489,25589,24787,25189,480764,-0.019539916702347115
2018-08-29,25088,25589,24887,25390,750163,0.00797967366707697
2018-08-30,25389,25689,25188,25390,313774,0.0
2018-08-31,24887,25187,24687,25089,431909,-0.011855061047656545
2018-09-03,25089,25189,24285,24387,460200,-0.027980389812268358
2018-09-04,24387,24688,24186,24487,268355,0.004100545372534459
2018-09-05,24485,24786,24285,24286,215419,-0.00820843712990571
2018-09-06,24387,24486,23884,24086,299195,-0.008235197232973723
2018-09-07,24086,24186,23784,24086,206174,0.0
2018-09-10,23885,24186,23784,23885,216152,-0.00834509673669348
2018-09-11,23782,23782,23282,23383,424870,-0.0210173749214988
2018-09-12,23383,24186,23383,24086,344739,0.0300645768293204
2018-09-13,24285,24485,23984,24286,407528,0.008303578842481008
2018-09-14,24186,24286,23784,24086,287642,-0.008235197232973723
2018-09-17,24186,24387,23684,24387,359811,0.012496886157933984
2018-09-18,24487,24587,24086,24186,384132,-0.008242096198794457
2018-09-19,24284,24284,23382,23483,664304,-0.029066402050773155
2018-09-20,23684,23984,23483,23584,308838,0.004300983690329163
2018-09-21,24385,24786,23783,23784,667099,0.008480325644504738
2018-09-27,23885,24286,23885,24186,275536,0.01690211907164474
2018-09-28,24085,24186,23885,23885,229927,-0.012445216240800416
2018-10-01,24084,24786,23984,23985,368677,0.004186728072011814
2018-10-02,24184,24284,22981,23182,615909,-0.03347925786950179
2018-10-04,22982,23182,22279,22480,603136,-0.030282115434388746
2018-10-05,22179,22379,21777,21878,479642,-0.026779359430604943
2018-10-08,21577,22179,21577,21577,187871,-0.013758113173050535
2018-10-10,21374,21775,20873,20874,516278,-0.032580989016081974
2018-10-11,20069,20471,19769,19770,957608,-0.052888761138258134
2018-10-12,19770,20473,19589,20272,537122,0.025392008093070295
2018-10-15,20272,20473,19911,19931,219792,-0.016821231254932956
2018-10-16,19931,20272,19931,20172,183949,0.012091716421654741
2018-10-17,20673,20673,20071,20172,302780,0.0
2018-10-18,20071,20372,20011,20172,173176,0.0
2018-10-19,20071,20473,19891,20272,268396,0.0049573666468372135
2018-10-22,20372,20874,20172,20573,208316,0.014848066298342566
2018-10-23,20573,20774,20071,20172,194001,-0.019491566616439027
2018-10-24,20272,20372,19850,19911,312593,-0.01293872694824505
2018-10-25,19527,19527,18464,18907,1024715,-0.05042438852895381
2018-10-26,19068,19168,18044,18245,653419,-0.03501348706828156
2018-10-29,18042,18544,17501,17582,599252,-0.03633872293779117
2018-10-30,17260,18283,17260,18164,521229,0.03310203617335916
2018-10-31,18244,18624,18003,18385,336787,0.012166923585113398
2018-11-01,18464,19186,18444,18686,372853,0.01637204242589063
2018-11-02,19108,19770,18887,19710,409600,0.054800385315209255
2018-11-05,19469,19549,19007,19168,339846,-0.027498731608320615
2018-11-06,19208,19569,19068,19389,195992,0.011529632721201999
2018-11-07,19487,19608,19107,19188,269320,-0.010366702769611602
2018-11-08,19649,20471,19629,20071,644793,0.04601834479883271
2018-11-09,20071,20473,19810,20172,292309,0.005032135917492964
2018-11-12,20272,20372,20071,20272,201208,0.0049573666468372135
2018-11-13,19829,20371,19809,20372,278476,0.004932912391475863
2018-11-14,20572,20872,20371,20673,281601,0.014775181621834
2018-11-15,20572,20873,20371,20874,170612,0.00972282687563486
2018-11-16,21075,21275,20473,20573,206149,-0.014419852448021464
2018-11-19,20572,21575,20572,21476,346393,0.043892480435522296
2018-11-20,21375,21575,21074,21476,234825,0.0
2018-11-21,21075,21577,20974,21577,206018,0.00470292419444962
2018-11-22,21476,21577,21275,21376,143409,-0.009315474811141478
2018-11-23,21476,21978,21275,21677,242633,0.014081212574850399
2018-11-26,21576,22679,21576,22580,460406,0.04165705586566415
2018-11-27,22681,22881,22078,22179,270808,-0.017759078830823727
2018-11-28,22379,22681,22279,22480,185906,0.013571396365931632
2018-11-29,22681,22881,22279,22480,263008,0.0
2018-11-30,22479,22679,22378,22580,346553,0.004448398576512469
2018-12-03,22982,23082,22580,22781,262030,0.008901682905225972
2018-12-04,22881,23082,22681,22781,264857,0.0
2018-12-05,22480,23082,22379,22982,222316,0.008823142092094338
2018-12-06,23081,23584,22982,23283,396531,0.013097206509442127
2018-12-07,23383,23483,22480,22982,354995,-0.012927887299746588
2018-12-10,22679,22779,22077,22279,331087,-0.030589156731354983
2018-12-11,22076,22177,21375,21476,461496,-0.036042910364019964
2018-12-12,21475,22277,21174,22078,393740,0.028031290743155246
2018-12-13,22378,22980,22178,22379,494887,0.013633481293595429
2018-12-14,22177,22377,21877,22078,196803,-0.013450109477635253
2018-12-17,22078,22480,21777,22179,173155,0.0045746897363891925
2018-12-18,21776,22277,21475,21777,188963,-0.01812525361828754
2018-12-19,21777,21878,21275,21677,218497,-0.004592000734720103
2018-12-20,21474,21474,20271,20673,579446,-0.04631637219172391
2018-12-21,20572,20973,20271,20974,429650,0.014560054176945725
2018-12-24,20974,20974,20071,20272,320266,-0.03347001048917708
2018-12-26,19868,20170,19669,19770,492532,-0.024763220205209158
2018-12-27,20171,20471,20070,20372,217247,0.030450177035912906
2018-12-28,20271,20972,20271,20673,190847,0.014775181621834
2019-01-02,20774,21075,20372,20473,173462,-0.00967445460262173
2019-01-03,20573,21175,20172,20573,293989,0.004884482000683921
2019-01-04,20473,20874,20372,20774,251728,0.009770087007242578
2019-01-07,21073,21474,20472,20673,378153,-0.004861846538942949
2019-01-08,20571,20671,19970,20051,450462,-0.030087553814153734
2019-01-09,20172,20573,20071,20473,357096,0.021046331853772804
2019-01-10,20272,20673,20172,20272,291573,-0.009817808821374507
2019-01-11,20272,20774,20272,20473,180561,0.009915153906866703
2019-01-14,20471,20471,20030,20071,243305,-0.019635617642749015
2019-01-15,20069,20571,19970,20051,381581,-0.0009964625579194086
2019-01-16,20170,20270,20030,20071,217209,0.0009974564859607238
2019-01-17,20069,20471,19769,19770,434803,-0.014996761496686717
2019-01-18,19870,20051,19850,19991,291588,0.011178553363682342
2019-01-21,20049,20069,19809,19830,252620,-0.00805362413085886
2019-01-22,19951,20573,19931,20473,448490,0.032425617750882596
2019-01-23,20372,20673,20172,20573,360462,0.004884482000683921
2019-01-24,20573,20774,20272,20473,282408,-0.004860739804598224
2019-01-25,20372,20673,20272,20573,355017,0.004884482000683921
2019-01-28,20673,20874,20372,20473,275296,-0.004860739804598224
2019-01-29,20372,20473,20272,20473,225138,0.0
2019-01-30,20471,20571,19970,20051,565397,-0.020612514042885777
2019-01-31,20172,20172,19830,19931,546040,-0.005984738915764787
2019-02-01,19951,20172,19911,19991,388183,0.003010385831117457
2019-02-07,20069,20069,19809,19870,307297,-0.0060527237256765565
2019-02-08,19810,19891,19690,19710,314884,-0.00805234021137391
2019-02-11,19768,19808,19127,19188,906796,-0.026484018264840148
2019-02-12,19187,19367,18725,19268,599314,0.004169272461955309
2019-02-13,19369,19850,19168,19690,519566,0.021901598505293718
2019-02-14,19630,20272,19288,20172,849160,0.024479431183341838
2019-02-15,20371,20772,20171,20372,653634,0.009914733293674427
2019-02-18,20573,20673,20272,20473,355745,0.00495778519536616
2019-02-19,20370,20471,20070,20071,231131,-0.019635617642749015
2019-02-20,20172,20272,19770,20011,387109,-0.002989387673758115
2019-02-21,20029,20270,19829,19850,328444,-0.008045574933786437
2019-02-22,19971,20172,19830,19931,294247,0.004080604534004939
2019-02-25,19951,20031,19690,19730,370483,-0.010084792534243103
2019-02-26,19750,20774,19750,20774,1238902,0.05291434363912817
2019-02-27,20974,21175,20673,21075,551979,0.014489265427938713
2019-02-28,21075,21376,20774,20774,733261,-0.014282325029655984
2019-03-04,21174,21876,21074,21777,853038,0.048281505728314134
2019-03-05,21677,21677,21175,21376,472504,-0.01841392294622768
2019-03-06,21474,21675,20873,21175,298220,-0.009403068862275488
2019-03-07,21173,21474,20773,20974,330354,-0.00949232585596227
2019-03-08,21878,21978,21376,21577,792787,0.028749880804805894
2019-03-11,21675,21675,20973,21275,276026,-0.013996385039625525
2019-03-12,21376,21476,20774,20774,380777,-0.02354876615746182
2019-03-13,20873,21374,20773,20874,240466,0.004813709444497993
2019-03-14,21075,21577,20974,21376,444051,0.024049056242215094
2019-03-15,21376,21777,21376,21577,463768,0.009403068862275488
2019-03-18,21677,21777,21476,21577,197291,0.0
2019-03-19,21577,21777,20573,20573,605054,-0.04653102840988088
2019-03-20,20673,20774,20071,20473,492001,-0.004860739804598224
2019-03-21,20473,20874,20372,20573,230173,0.004884482000683921
2019-03-22,20672,20972,20672,20874,239614,0.014630826811840691
2019-03-25,20473,20874,20372,20473,171747,-0.019210501101849187
2019-03-26,20572,21173,20472,20874,257452,0.019586772822742127
2019-03-27,20974,20974,20473,20573,208707,-0.014419852448021464
2019-03-28,20473,20874,20473,20573,162966,0.0
2019-03-29,20673,20874,20573,20774,153823,0.009770087007242578
2019-04-01,20772,20872,20472,20673,216132,-0.004861846538942949
2019-04-02,20774,20874,20473,20774,227338,0.0048855995743239955
2019-04-03,20673,20874,20473,20573,294101,-0.009675555983440831
2019-04-04,20573,20673,20372,20573,261063,0.0
2019-04-05,20573,20673,20473,20573,132105,0.0
2019-04-08,20673,20774,20372,20473,203479,-0.004860739804598224
2019-04-09,20473,20473,20071,20172,383038,-0.014702290822058317
2019-04-10,20272,20673,20172,20573,263334,0.01987904025381715
2019-04-11,20673,20673,20372,20573,253796,0.0
2019-04-12,20573,20573,20372,20573,162349,0.0
2019-04-15,20874,22179,20673,22179,1228969,0.07806348126184814
2019-04-16,22780,23684,22580,23584,1744272,0.0633482122728708
2019-04-17,23483,23884,23182,23584,653103,0.0
2019-04-18,23883,23983,23282,23383,443925,-0.008522727272727293
2019-04-19,23481,23883,23081,23483,329620,0.004276611213274606
2019-04-22,23683,24184,23482,23684,457505,0.008559383383724306
2019-04-23,23782,23983,23282,23383,259471,-0.012709001857794333
2019-04-24,23583,23782,23181,23684,443136,0.012872599751956537
2019-04-25,23584,23684,23081,23283,292233,-0.016931261611214277
2019-04-26,23182,23584,22681,23082,366725,-0.008632908130395522
2019-04-29,23181,23984,22880,23985,512703,0.039121393293475526
2019-04-30,23884,24286,23784,24086,494890,0.004210965186574933
2019-05-02,24085,24989,23985,24688,742545,0.02499377231586819
2019-05-03,25289,25890,25188,25691,1098989,0.04062702527543749
2019-05-07,25290,26093,25290,25591,664716,-0.00389241368572657
2019-05-08,25390,26093,25189,25792,700167,0.00785432378570583
2019-05-09,26793,26793,25389,25390,1352763,-0.015586228287841175
2019-05-10,25792,26293,25591,26093,1006921,0.02768806616778252
2019-05-13,26193,26193,25491,25792,584824,-0.011535660905223621
2019-05-14,25491,27096,25390,26896,1360661,0.04280397022332516
2019-05-15,27195,27295,26092,26494,1241060,-0.014946460440214193
2019-05-16,26593,26894,26192,26795,558891,0.011361062882162098
2019-05-17,25892,25992,24888,24989,5222004,-0.06740063444672517
2019-05-20,25389,25790,25188,25390,899474,0.016047060706710914
2019-05-21,25388,25589,25088,25089,694961,-0.011855061047656545
2019-05-22,25188,25388,24386,25189,840648,0.003985810514568033
2019-05-23,25087,25489,24787,24888,425136,-0.011949660566120124
2019-05-24,24687,24887,24185,24888,766145,0.0
2019-05-27,25089,25390,24186,24487,550142,-0.01611218257794922
2019-05-28,24285,25089,24186,24688,565899,0.0082084371299056
2019-05-29,24587,24788,24186,24387,323116,-0.012192158133506159
2019-05-30,24487,25189,24487,24989,460680,0.024685283142658054
2019-05-31,24888,25290,24688,24989,325040,0.0
2019-06-03,24786,25187,24486,24587,316035,-0.016087078314458325
2019-06-04,24585,24886,23382,23985,847685,-0.02448448367023226
2019-06-05,24286,24387,23984,24186,307665,0.008380237648530242
2019-06-07,24086,24186,23584,24086,537162,-0.004134623335814158
2019-06-10,24085,25087,23884,24888,506951,0.0332973511583492
2019-06-11,24888,25088,24587,24989,244302,0.004058180649308962
2019-06-12,24987,25087,24586,24888,212619,-0.004041778382488315
2019-06-13,24887,25589,24787,25390,747390,0.02017036322725807
2019-06-14,25489,25689,24988,25089,357300,-0.011855061047656545
2019-06-17,25089,25089,24285,24387,349662,-0.027980389812268358
2019-06-18,24385,24686,24085,24286,344107,-0.004141550826259888
2019-06-19,24587,24587,24286,24487,178919,0.008276373219138655
2019-06-20,24487,24888,24085,24487,287954,0.0
2019-06-21,24988,25689,24887,25390,808423,0.03687671009106874
2019-06-24,25491,25691,25189,25290,306333,-0.003938558487593502
2019-06-25,25891,26291,25590,26193,956899,0.03570581257414007
2019-06-26,26291,26592,25891,25992,516097,-0.007673805978696602
2019-06-27,26293,26794,26093,26394,704159,0.01546629732225302
2019-06-28,26394,26695,26093,26394,362354,0.0
2019-07-01,26592,26693,25891,25992,433735,-0.015230734257785872
2019-07-02,25992,26394,25691,26394,264488,0.01546629732225302
2019-07-03,26392,26492,26092,26293,300667,-0.003826627263772031
2019-07-04,26292,26593,25991,26594,362634,0.011447913893431805
2019-07-05,26694,26894,26393,26795,458417,0.007558095811085241
2019-07-08,26793,26793,25690,25691,581000,-0.04120171673819739
2019-07-09,25791,26492,25690,26293,463640,0.023432330388073686
2019-07-10,26492,26492,25891,26293,312943,0.0
2019-07-11,26291,26693,26192,26193,525918,-0.0038032936523029193
2019-07-12,26293,26594,25992,26394,300566,0.007673805978696491
2019-07-15,26594,27297,26293,26695,783546,0.01140410699401384
2019-07-16,26795,26896,26494,26695,323628,0.0
2019-07-17,26492,26592,25991,26293,328637,-0.015058999812698981
2019-07-18,26193,26594,26193,26394,170819,0.0038413265888259662
2019-07-19,26493,27195,26393,27096,656218,0.02659695385314853
2019-07-22,26996,27297,26795,26896,408551,-0.007381163271331537
2019-07-23,26896,27397,26695,27297,469494,0.014909280190362972
2019-07-24,27297,27698,26896,27297,692256,0.0
2019-07-25,27295,27295,25690,26293,1295817,-0.03678059860057881
2019-07-26,25891,26492,25490,26293,701403,0.0
2019-07-29,26093,26494,25691,25892,368682,-0.015251207545734613
2019-07-30,25792,25992,25290,25290,467439,-0.023250424841649964
2019-07-31,25089,25691,24989,25491,294609,0.00794780545670215
2019-08-01,25289,25790,25188,25390,249194,-0.003962182731160002
2019-08-02,25290,26093,24788,25792,444403,0.015833005120126087
2019-08-05,25689,25890,24386,24587,597268,-0.04671991315136481
2019-08-06,23783,24989,23584,24487,714349,-0.004067189978443908
2019-08-07,24987,25087,24386,24788,424495,0.01229223669702284
2019-08-08,25691,25892,25189,25491,956084,0.02836049701468446
2019-08-09,25690,26693,25590,26494,780515,0.03934722058765838
2019-08-12,26695,26795,25992,26093,265084,-0.015135502377896848
2019-08-13,26093,26594,25892,26394,361927,0.011535660905223732
2019-08-14,26693,26693,25891,26193,338519,-0.00761536712889288
2019-08-16,25991,26091,25690,25992,300046,-0.007673805978696602
2019-08-19,26192,26392,25991,26193,222446,0.00773314866112651
2019-08-20,26292,26493,25991,26494,369383,0.011491619898446048
2019-08-21,26293,26695,26193,26394,284628,-0.0037744394957348604
2019-08-22,26394,27096,26394,26695,597184,0.01140410699401384
2019-08-23,26494,26795,26193,26695,414033,0.0
2019-08-26,26092,26693,25991,26594,374958,-0.0037834800524443324
2019-08-27,26795,27096,26695,26896,499775,0.011355944949988706
2019-08-28,26894,27094,26593,26795,255507,-0.0037552052349791865
2019-08-29,26695,26795,26293,26695,351957,-0.0037320395596193157
2019-08-30,26896,27197,26896,26996,402408,0.01127551976025476
2019-09-02,26895,27598,26795,27498,575791,0.018595347458882694
2019-09-03,27597,27696,27296,27598,291503,0.0036366281184085913
2019-09-04,27498,27899,27397,27799,431250,0.007283136459163675
2019-09-05,27696,27897,26995,27096,598646,-0.025288679448901008
2019-09-06,27096,27397,27096,27297,191271,0.007418069087688162
2019-09-09,27096,27197,26494,26695,673204,-0.022053705535406865
2019-09-10,26695,27197,26594,27197,310565,0.018805019666604306
2019-09-11,27197,27297,26695,26695,734465,-0.01845791815273745
2019-09-16,26994,27094,26292,26494,413424,-0.007529499906349546
2019-09-17,26493,26894,26493,26494,326141,0.0
2019-09-18,26695,27498,26695,27498,684630,0.03789537253717823
2019-09-19,27397,27598,27096,27197,242822,-0.010946250636409971
2019-09-20,27197,27197,26695,27197,358235,0.0
2019-09-23,27096,27397,26996,26996,207227,-0.007390521013347029
2019-09-24,27095,27697,26995,27698,466753,0.026003852422581186
2019-09-25,27598,27799,27297,27297,301919,-0.014477579608636049
2019-09-26,27496,27596,27095,27397,210766,0.0036634062351175167
2019-09-27,27397,27397,26996,27197,168760,-0.007300069350658855
2019-09-30,26996,27296,26896,27197,202006,0.0
2019-10-01,27296,27696,27296,27598,252319,0.014744273265433705
2019-10-02,27397,27498,27197,27197,152309,-0.014530038408580359
2019-10-04,26994,27295,26794,26795,238417,-0.014781042026694169
2019-10-07,26896,27096,26695,26996,344020,0.00750139951483475
2019-10-08,26996,27096,26795,26996,224907,0.0
2019-10-10,26694,27496,26593,27397,694345,0.01485405245221516
2019-10-11,27395,27596,26995,27096,238584,-0.01098660437274157
2019-10-14,27297,27397,26896,26996,317555,-0.003690581635665824
2019-10-15,27096,27096,26695,26896,190243,-0.003704252481849135
2019-10-16,26894,26994,25791,26494,753513,-0.014946460440214193
2019-10-17,26392,26592,25891,26193,618170,-0.011361062882161987
2019-10-18,26292,26793,26292,26594,332984,0.015309433818195606
2019-10-21,26593,26894,26292,26795,214102,0.007558095811085241
2019-10-22,26896,27297,26896,27297,337570,0.01873483858928915
2019-10-23,27297,28100,27197,28100,1045771,0.02941715206799289
2019-10-24,28200,28501,27898,28000,490092,-0.003558718861209953
2019-10-25,28100,28301,28000,28100,196552,0.0035714285714285587
2019-10-28,28501,29103,28000,28100,665988,0.0
2019-10-29,28401,28501,27698,28000,367213,-0.003558718861209953
2019-10-30,28198,28198,27597,27698,251362,-0.010785714285714287
2019-10-31,27899,28903,27799,28401,726151,0.025380893927359427
